Major,Freshman Status,Sophomore Status,Junior Status,Senior Status,Male,Female,Caucasion Ethnicity,African Ethnicity,Hispanic Ethnicity,Asian Ethnicity,Native Ethnicity,Unknown Ethnicity,International Ethnicity,Student Full Time,Student Part Time,Resident,Non-Resident,Total
Undeclared,3405,3052,1425,140.5,4034.5,3988,5606,254,442,672.5,72,119,837,7911.5,111,4685,3337.5,8022.5
African Cultural Studies,,,0.5,4,1,3.5,4,,,0.5,,,,4.5,,3.5,1,4.5
Afro-American Studies,,1,1.83,4,3,3.83,1.83,4,1,,,,,5.33,1.5,3.33,3.5,6.83
Agricultural and Applied Economics,3,3,12,22,20,20,30.5,,3,2.5,,,4,37,3,24.5,15.5,40
Agricultural Business Management,7,6,25,32.5,42,28.5,57,1,1,2,1,2,6.5,68.5,2,53,17.5,70.5
Agronomy,5,1,7,8.5,16,5.5,20.5,,,,,,1,20.5,1,18,3.5,21.5
Animal Sciences,43,29.5,41,43,22.5,134,127,5,11,3,5,1,4.5,153.5,3,110.5,46,156.5
Anthropology,,3.5,11.83,39.44,16.69,38.08,44.78,1,3.5,2.5,0.5,,2.5,48.17,6.61,42.44,12.33,54.78
"Applied Mathematics, Engineering and Physics",,4,12,31.5,42.5,5,30,,2,2,,1,12.5,43.5,4,28,19.5,47.5
Art,21,34,46.5,89,46,144.5,126.5,8,8.5,20,2,4,20.5,182.5,8,115,75.5,190.5
Art Education,,,1,7,,8,7,,,,,,1,7,1,5,3,8
Art History,,3,4,15.83,3.83,19,12.17,,0.5,1.5,,1,7.67,20.83,2,9.83,13,22.83
Asian Studies,,,2,9.78,5.45,6.33,2.95,0.83,1.5,4.5,,,2,11.28,0.5,7.28,4.5,11.78
Astronomy - Physics,,2,4,25.75,20.08,11.67,22.83,1,1.58,1,1,,3.33,30.42,1.33,22.83,8.92,31.75
Athletic Training,,,11,39.5,18.5,32,45,1,1,2.5,,,1,45.5,5,43.5,7,50.5
Atmospheric and Oceanic Sciences,,,2.5,12,10,4.5,13,,,1,,,0.5,11.5,3,13,1.5,14.5
