Major,Freshman Status,Sophomore Status,Junior Status,Senior Status,Male,Female,Caucasion Ethnicity,African Ethnicity,Hispanic Ethnicity,Asian Ethnicity,Native Ethnicity,Unknown Ethnicity,International Ethnicity,Student Full Time,Student Part Time,Resident,Non-Resident,Total
Undeclared,3405,3052,1425,141,4035,3988,5606,254,442,673,72,119,837,7912,111,4685,3338,8023
African Cultural Studies,,,1,5,1,5,5,,,1,,,,6,,5,1,6
Afro-American Studies,,1,4,6,4,7,4,6,1,,,,,9,2,6,5,11
Agricultural and Applied Economics,3,3,13,25,22,22,34,,3,3,,,4,41,3,28,16,44
Agricultural Business Management,7,6,26,36,44,31,60,1,1,2,1,2,8,73,2,55,20,75
Agronomy,5,1,7,9,16,6,21,,,,,,1,21,1,18,4,22
Animal Sciences,43,30,43,45,23,138,130,5,11,4,5,1,5,158,3,113,48,161
Anthropology,,4,18,55,25,52,62,1,5,4,1,,4,68,9,59,18,77
"Applied Mathematics, Engineering and Physics",,4,13,37,49,5,35,,2,2,,1,14,50,4,32,22,54
Art,21,34,50,99,50,154,134,8,9,21,2,4,25,195,9,122,82,204
Art Education,,,1,7,,8,7,,,,,,1,7,1,5,3,8
Art History,,4,6,26,7,29,21,,1,2,,1,11,34,2,17,19,36
Asian Studies,,,3,19,11,11,6,2,3,6,,,5,21,1,12,10,22
Astronomy - Physics,,3,6,47,37,19,40,2,4,1,1,,7,53,3,39,17,56
Athletic Training,,,11,40,19,32,45,1,1,3,,,1,46,5,44,7,51
Atmospheric and Oceanic Sciences,,,3,13,11,5,14,,,1,,,1,13,3,14,2,16
Biochemistry,53,96,147,290,330,256,382,12,29,89,3,3,68,555,31,361,225,586
Biological Systems Engineering,15,21,67,126,162,67,170,5,19,12,3,,19,211,18,156,73,229
Biology,108,180,331,674,464,829,947,64,61,148,11,9,48,1229,64,832,461,1293
Biomedical Engineering,125,168,96,235,353,271,476,14,29,62,1,9,30,607,17,352,272,624
Botany,,2,10,19,15,16,25,1,1,4,,,,26,5,25,6,31
Business: Accounting,32,79,142,190,232,211,349,8,9,21,2,1,52,436,7,275,168,443
Business: Actuarial Science,15,36,82,111,149,95,182,1,7,14,2,1,36,238,6,155,89,244
"Business: Finance, Investment and Banking",67,226,355,455,814,289,894,20,46,65,6,5,64,1077,26,538,565,1103
Business: Information Systems,5,16,25,29,50,25,61,1,2,5,,1,5,72,3,51,24,75
Business: International Business,19,37,52,72,62,118,140,3,19,11,1,2,4,177,3,109,71,180
Business: Management and Human Resources,51,101,137,173,200,262,387,11,25,24,3,3,6,448,14,278,184,462
Business: Marketing,47,146,232,287,262,450,596,14,33,35,5,3,23,694,18,378,334,712
Business: Operations and Technology Manage,2,19,33,62,60,56,98,2,3,9,,1,3,108,8,85,31,116
Business: Real Estate and Urban Land Econo,11,95,150,150,319,87,346,9,18,16,7,3,6,396,10,165,241,406
Business: Risk Management and Insurance,3,34,72,162,172,99,212,3,8,18,,2,28,264,7,164,107,271
Cartography and Geographic Information Syste,,1,11,21,26,7,27,,3,,1,1,1,30,3,21,12,33
Chemical Engineering,77,126,106,250,382,177,379,9,15,43,3,8,102,512,47,268,291,559
Chemistry,,8,36,152,118,78,144,3,9,9,,1,30,168,28,112,84,196
Chinese,,2,4,34,22,18,28,1,,10,,,1,37,3,27,13,40
Civil Engineering,59,67,97,243,337,129,393,6,21,17,3,5,19,437,29,300,166,466
Classical Humanities,,4,13,13,12,18,23,1,1,1,1,,3,29,1,16,14,30
Classics,,,3,4,4,3,6,,,,,,1,6,1,5,2,7
Communication Arts,1,39,214,359,231,382,446,21,31,43,11,1,56,566,47,375,238,613
Communication Sciences and Disorders,7,19,46,113,6,179,158,3,9,7,2,1,3,180,5,123,62,185
Community and Environmental Sociology,7,3,16,40,12,54,55,2,3,2,1,2,,62,4,41,25,66
Community and Nonprofit Leadership,4,41,28,64,22,115,107,7,7,12,1,1,1,131,6,93,44,137
Comparative Literature and Folklore Studies,,1,,2,,3,3,,,,,,,3,,2,1,3
Computer Engineering,48,88,111,161,362,46,249,7,14,49,5,3,81,389,19,207,201,408
Computer Sciences,1,143,408,763,1085,230,736,13,35,148,6,7,368,1197,118,636,679,1315
Conservation Biology,2,10,30,62,27,77,88,1,6,6,2,,,99,5,72,32,104
Dairy Science,17,22,25,17,22,59,74,,4,2,,,1,80,1,75,6,81
Dance,6,9,7,14,2,34,31,1,,3,1,,,34,2,16,20,36
Economics,,15,261,717,693,300,648,19,33,64,5,6,215,926,67,443,550,993
Education Studies,5,6,12,3,8,18,16,1,4,2,,,3,26,,10,16,26
Electrical Engineering,34,79,120,202,380,55,285,7,13,44,3,7,75,407,28,244,191,435
Elementary Education,48,84,94,165,36,355,309,14,24,21,6,1,14,385,6,301,90,391
Engineering Mechanics,17,34,45,109,173,32,174,4,8,8,1,1,8,193,12,147,58,205
Engineering Physics,2,9,4,13,27,1,24,1,,,1,,2,27,1,19,9,28
English,1,25,116,182,102,222,248,20,20,26,2,,4,298,26,227,97,324
Entomology,2,3,5,5,6,9,12,,1,1,,,1,15,,9,6,15
Environmental Sciences,9,18,39,86,69,83,111,1,15,13,1,1,10,146,6,96,56,152
Environmental Studies,,17,60,138,63,152,173,6,11,15,2,,7,199,16,147,68,215
Food Science,8,22,31,56,41,76,73,1,6,9,,,27,110,7,62,55,117
Forest Science,2,2,9,20,25,8,30,,1,,1,,1,31,2,22,11,33
French,,3,19,65,21,66,73,3,4,3,,1,3,84,3,51,36,87
Gender and Women's Studies,,5,20,55,3,77,58,10,4,4,3,,1,74,6,60,20,80
Genetics,56,51,84,113,89,215,239,2,19,25,4,3,12,293,11,206,98,304
Geography,,2,18,53,38,35,58,2,6,4,,1,,65,8,51,22,73
Geological Engineering,2,11,22,82,75,42,107,1,4,1,2,,2,108,9,81,36,117
Geology and Geophysics,,1,21,110,84,48,112,1,4,2,1,1,11,119,13,90,42,132
German,,1,11,35,20,27,44,2,1,,,,,43,4,43,4,47
History,2,19,96,194,187,124,251,7,17,12,3,1,20,289,22,197,114,311
"History and History of Science, Medicine and T",,,2,3,1,4,2,,,2,,,1,5,,2,3,5
"History of Science, Medicine and Technology",,2,2,5,2,7,6,1,1,1,,,,8,1,6,3,9
Horticulture,2,5,14,11,14,18,22,2,4,2,,,2,30,2,25,7,32
Human Development and Family Studies,12,52,105,149,23,295,237,12,24,37,2,,6,300,18,202,116,318
Individual Major,,,2,,1,1,1,1,,,,,,2,,2,,2
Industrial Engineering,23,55,120,203,251,150,291,6,21,33,1,1,48,382,19,169,232,401
Interior Architecture,18,17,5,1,6,35,28,3,2,5,1,1,,41,,28,13,41
Interior Design,,15,23,57,8,87,77,3,,8,1,,6,91,4,69,26,95
International Studies,,5,54,161,70,150,160,13,17,18,,,12,210,10,128,92,220
Italian,,1,3,15,8,11,15,1,1,,1,1,,18,1,9,10,19
Undergraduate Students With a Major,,,,,,,,,,,,,,,,,,
Japanese,,4,5,22,19,12,18,1,1,3,,,7,28,3,18,13,31
Jewish Studies,,1,,4,1,4,5,,,,,,,5,,2,3,5
Journalism,,49,159,235,114,329,372,10,21,16,2,1,20,424,19,190,253,443
Kinesiology,93,138,137,143,200,311,418,20,25,37,4,1,3,498,13,385,126,511
Landscape Architecture,,4,18,32,29,25,42,,3,2,,,6,50,4,44,10,54
Latin,,,1,1,1,1,1,,,1,,,,2,,2,,2
"Latin American, Caribbean and Iberian Studies",,2,4,25,8,23,14,1,15,1,,,,30,1,18,13,31
Legal Studies,,15,60,111,48,138,140,15,15,9,2,1,3,172,14,117,69,186
Life Sciences Communication,4,14,44,74,37,99,108,11,4,7,1,1,4,129,7,75,61,136
Linguistics,,2,9,28,14,25,30,1,1,5,,,2,36,3,29,10,39
Materials Science and Engineering,10,28,46,109,127,66,134,4,13,16,1,,25,179,14,91,102,193
Mathematics,,15,106,334,317,138,210,2,14,33,1,4,190,413,42,172,283,455
Mechanical Engineering,149,183,165,378,752,123,665,16,29,47,4,10,102,808,67,482,393,875
Microbiology,16,20,59,132,102,125,162,1,15,31,1,2,14,202,25,159,68,227
Molecular Biology,1,9,14,69,43,50,67,3,4,10,3,1,5,86,7,56,37,93
Music,34,23,19,32,56,52,80,4,6,12,2,2,2,102,6,82,26,108
Music: Education,,3,15,21,20,19,35,2,1,,1,,,38,1,31,8,39
Music: Performance,,,2,9,6,5,10,,1,,,,,11,,6,5,11
Neurobiology,3,35,157,264,157,302,325,17,25,70,4,1,16,446,13,307,152,459
Nuclear Engineering,13,16,22,51,92,10,75,1,8,8,3,,7,99,3,55,47,102
Nursing,149,215,243,257,102,762,678,34,42,79,19,3,5,839,25,692,172,864
Nursing,,,7,58,7,58,59,2,2,2,,,,,65,65,,65
Nutritional Sciences,24,29,76,123,27,225,195,4,13,16,5,,19,229,23,168,84,252
Personal Finance,9,57,81,101,159,89,179,9,17,10,6,1,25,239,9,148,100,248
Pharmacology and Toxicology,,,14,31,21,24,29,,1,8,,1,6,44,1,28,17,45
Philosophy,,5,27,76,73,35,74,3,7,9,1,1,11,93,15,65,43,108
Physical Education,1,,6,14,9,12,18,,2,,,,1,21,,18,3,21
Physics,,5,30,97,110,22,97,1,5,2,,,27,126,6,86,46,132
Plant Pathology,1,1,5,15,11,11,19,,,1,,1,1,19,3,15,7,22
Polish,,,1,1,1,1,2,,,,,,,2,,1,1,2
Political Science,4,85,237,410,367,369,599,22,43,34,7,4,22,690,46,437,299,736
Portuguese,,,3,7,7,3,5,,5,,,,,10,,8,2,10
Poultry Science,,,,3,2,1,2,,1,,,,,2,1,3,,3
Pre-Art Education,6,7,2,2,1,16,14,,2,,,,1,15,2,15,2,17
Psychology,2,109,357,561,229,800,753,40,62,75,11,1,86,986,43,665,364,1029
Rehabilitation Psychology,7,24,59,114,36,168,160,12,11,12,3,,2,189,15,143,61,204
Religious Studies,,1,8,23,14,18,25,,1,2,2,,2,30,2,26,6,32
Retailing and Consumer Behavior,28,80,99,122,63,266,264,12,18,13,5,,16,322,7,191,138,329
Russian,,,,19,11,8,16,,2,,,,1,19,,13,6,19
Scandinavian Studies,,2,5,13,6,14,17,,1,1,1,,,19,1,10,10,20
Social Welfare,,20,54,52,9,117,89,13,8,9,5,,,120,6,100,26,126
Social Work CSWE Accredited,,,,38,6,32,32,2,2,1,1,,,37,1,31,7,38
Sociology,1,14,60,140,84,131,139,25,20,12,1,,18,193,22,135,80,215
Soil Science,,,2,3,5,,4,,1,,,,,5,,5,,5
Spanish,3,16,92,319,91,339,356,16,43,10,,,4,397,33,307,123,430
Special Education,9,14,24,49,11,85,84,2,5,2,2,,,95,1,69,27,96
Statistics,,6,53,130,101,88,65,1,1,17,,,105,179,10,53,136,189
Textiles and Fashion Design,10,20,16,28,16,58,44,7,7,7,,,8,69,5,40,34,74
Theatre and Drama,6,11,17,22,20,36,42,3,5,2,,,4,50,6,38,18,56
Wildlife Ecology,8,10,18,36,27,45,63,2,3,1,,,3,72,,50,22,72
Zoology,2,13,44,106,49,116,130,7,10,12,1,1,4,154,11,118,47,165
