State,Resident,Non-Resident,Total,Continuing,New Freshman,Reentry/Transfer,Reentry,Transfer,Total Undergraduate,Continuing Special,Transfer Special,Reentry Special,Total Special,Continuing Graduate,New Graduate,Transfer Graduate,Reentry Graduate,Total Graduate,Continuingn Professional,New Professional,Reentry/Transfer Profesional,Reentry Professional,Transfer Professional,Total Profesional
Alabama,1,23,24,5,0,0,0,0,5,0,0,0,0,0,17,2,0,19,0,0,0,0,0,0
Alaska,2,14,16,5,2,0,0,0,7,0,0,0,0,0,4,2,0,6,2,1,0,0,0,3
Arizona,7,83,90,26,9,0,1,3,39,0,0,0,0,0,41,4,0,45,5,1,0,0,0,6
Arkansas,1,20,21,2,1,0,0,0,3,0,0,0,0,0,14,4,0,18,0,0,0,0,0,0
Armed Forces Americas,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Armed Forces Europe,4,1,5,0,2,0,0,1,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
Armed Forces Pacific,5,1,6,3,2,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
California,42,1086,1128,452,175,3,4,16,650,11,6,3,0,20,274,86,1,361,81,15,0,1,0,97
Colorado,11,197,208,76,22,1,0,2,101,3,1,1,0,5,68,22,0,90,11,1,0,0,0,12
Connecticut,11,221,232,113,58,1,1,3,176,1,3,0,0,4,32,10,1,43,5,4,0,0,0,9
Delaware,3,10,13,3,1,0,0,0,4,0,0,0,0,0,4,3,0,7,2,0,0,0,0,2
District of Columbia,4,108,112,48,23,0,1,0,72,2,0,0,0,2,25,9,0,34,4,0,0,0,0,4
Florida,22,211,233,97,29,2,1,5,134,1,3,0,0,4,55,23,3,81,7,6,0,1,0,14
Georgia,13,97,110,43,16,1,0,2,62,0,3,0,0,3,31,5,2,38,4,3,0,0,0,7
Hawaii,2,16,18,7,3,1,0,0,11,0,1,0,0,1,2,1,0,3,3,0,0,0,0,3
Idaho,3,20,23,3,1,0,0,0,4,1,0,0,0,1,15,0,0,15,3,0,0,0,0,3
Illinois,257,3151,3408,1945,610,15,9,65,2644,30,12,2,0,44,397,153,3,553,117,49,0,1,0,167
Indiana,14,143,157,46,20,0,0,1,67,3,2,0,0,5,55,23,1,79,6,0,0,0,0,6
Iowa,30,182,212,50,13,1,0,1,65,8,2,1,0,11,90,25,2,117,15,4,0,0,0,19
Kansas,12,61,73,16,6,0,0,0,22,0,0,0,0,0,33,11,0,44,7,0,0,0,0,7
Kentucky,1,38,39,7,5,0,0,0,12,0,0,0,0,0,23,3,0,26,1,0,0,0,0,1
Louisiana,4,20,24,5,2,0,0,0,7,0,0,0,0,0,13,3,0,16,1,0,0,0,0,1
Maine,3,23,26,8,3,0,0,0,11,0,1,0,0,1,11,3,0,14,0,0,0,0,0,0
Maryland,12,311,323,152,62,3,0,1,218,17,3,1,0,21,48,16,0,64,18,2,0,0,0,20
Massachusetts,5,303,308,122,54,0,2,4,182,1,4,0,0,5,88,18,0,106,8,7,0,0,0,15
Michigan,42,372,414,89,39,0,1,7,136,7,8,0,0,15,167,55,2,224,33,6,0,0,0,39
Minnesota,104,3183,3287,2095,601,7,9,43,2755,20,18,3,0,41,272,98,1,371,91,27,0,2,0,120
Mississippi,2,11,13,1,1,0,0,0,2,1,0,0,0,1,9,0,0,9,1,0,0,0,0,1
Missouri,15,182,197,68,29,0,0,1,98,3,1,0,0,4,56,23,0,79,11,5,0,0,0,16
Montana,4,26,30,3,0,0,0,0,3,0,0,1,0,1,17,4,0,21,4,1,0,0,0,5
Nebraska,6,47,53,10,6,0,0,0,16,3,2,0,0,5,21,4,1,26,4,2,0,0,0,6
Nevada,2,18,20,2,0,0,0,1,3,0,0,0,0,0,11,2,0,13,2,2,0,0,0,4
New Hampshire,0,27,27,8,3,0,0,0,11,1,0,0,0,1,11,4,0,15,0,0,0,0,0,0
New Jersey,15,448,463,240,108,3,3,8,362,4,0,0,0,4,70,17,0,87,10,0,0,0,0,10
New Mexico,4,54,58,5,1,0,0,0,6,0,1,0,0,1,39,8,1,48,3,0,0,0,0,3
New York,29,872,901,438,191,13,4,12,658,5,8,0,0,13,147,37,3,187,32,11,0,0,0,43
North Carolina,14,90,104,17,10,0,0,4,31,2,1,0,0,3,47,14,0,61,7,2,0,0,0,9
North Dakota,4,24,28,5,0,0,1,0,6,1,1,0,0,2,8,7,1,16,1,3,0,0,0,4
Northern Mariana Islands,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
