Major,Male Freshmen,Female Freshmen,Male Sophomores,Female Sophomores,Male Juniors,Female Juniors,Male Seniors,Female Seniors,Total Undergraduate Males,Total Undergraduate Females,Total Undergraduates,Male Special Students,Female Special Students,Total Special Students,College
Pre-Art Education,0,6,1,6,0,2,0,2,1,16,17,0,0,0,"Education, School of"
Pre-Elementary Education,4,44,3,81,6,20,2,3,15,148,163,0,0,0,"Education, School of"
Pre-Secondary Education,0,5,0,12,0,6,0,6,0,29,29,0,0,0,"Education, School of"
Pre-Special Educ & Rehab Psy,1,15,5,33,4,18,4,3,14,69,83,0,0,0,"Education, School of"
Rehabilitation Psychology,0,0,0,0,7,33,18,89,25,122,147,0,0,0,"Education, School of"
Secondary Education,0,0,0,0,1,2,0,19,1,21,22,0,0,0,"Education, School of"
Special Education,0,0,0,0,1,3,3,12,4,15,19,0,0,0,"Education, School of"
Theatre & Drama,2,4,3,8,3,14,12,10,20,36,56,0,0,0,"Education, School of"
Biomedical Engineering,61,64,98,70,57,38,136,99,352,271,623,0,0,0,"Engineering, College of"
Chemical Engineering,52,25,84,42,72,34,173,75,381,176,557,0,0,0,"Engineering, College of"
Civil & Environmental Engrg,37,22,50,17,68,28,182,61,337,128,465,0,0,0,"Engineering, College of"
Computer Engineering,42,6,81,7,94,17,145,16,362,46,408,0,0,0,"Engineering, College of"
Electrical Engineering,29,5,67,12,105,15,179,23,380,55,435,0,0,0,"Engineering, College of"
Engineering Mechanics,13,4,30,4,33,12,96,12,172,32,204,0,0,0,"Engineering, College of"
Engineering Physics,2,0,8,0,3,0,12,1,25,1,26,0,0,0,"Engineering, College of"
Engineering Undecided,54,13,28,10,2,1,0,0,84,24,108,0,0,0,"Engineering, College of"
General Engineering,0,0,4,0,5,1,3,1,12,2,14,0,0,0,"Engineering, College of"
Geological Engineering,1,1,4,7,15,7,55,27,75,42,117,0,0,0,"Engineering, College of"
Industrial Engineering,15,8,29,25,69,51,136,66,249,150,399,0,0,0,"Engineering, College of"
Materials Science and Engr,6,4,20,8,31,15,70,39,127,66,193,0,0,0,"Engineering, College of"
Mechanical Engineering,127,22,157,24,139,25,326,52,749,123,872,0,0,0,"Engineering, College of"
Nuclear Engineering,11,2,14,2,21,1,46,5,92,10,102,0,0,0,"Engineering, College of"
Human Ecology,9,53,22,168,26,211,57,278,114,710,824,0,0,0,"Human Ecology, School of"
Interior Architecture,0,0,0,15,3,20,5,52,8,87,95,0,0,0,"Human Ecology, School of"
Personal Finance,4,5,38,19,47,34,70,31,159,89,248,0,0,0,"Human Ecology, School of"
Textiles and Fashion Design,0,10,5,15,4,12,7,21,16,58,74,0,0,0,"Human Ecology, School of"
Law Exchange Special,0,0,0,0,0,0,0,0,0,0,0,2,0,2,"Law, School of"
Applied Math & Engr Physics,0,0,2,2,10,3,37,0,49,5,54,0,0,0,"Letters & Science, College of"
General Course - BA Degree,798,1063,786,1000,816,1017,853,1141,3253,4221,7474,0,0,0,"Letters & Science, College of"
General Course - BS Degree,692,766,981,818,1097,779,1336,1005,4106,3368,7474,0,0,0,"Letters & Science, College of"
Journalism - BA Degree,0,0,13,32,30,124,58,158,101,314,415,0,0,0,"Letters & Science, College of"
Journalism - BS Degree,0,0,2,2,1,4,10,9,13,15,28,0,0,0,"Letters & Science, College of"
Music,0,0,0,0,1,1,5,4,6,5,11,0,0,0,"Letters & Science, College of"
Music Cert Prog,0,0,2,1,6,9,12,9,20,19,39,0,0,0,"Letters & Science, College of"
Pre-Music,19,15,7,16,9,9,7,3,42,43,85,0,0,0,"Letters & Science, College of"
Social Work,0,0,0,0,0,0,6,32,6,32,38,0,0,0,"Letters & Science, College of"
Nursing Collaborative Program,0,0,0,0,2,5,5,53,7,58,65,0,0,0,"Nursing, School of"
Nursing Undergraduate,0,0,0,1,17,71,39,183,56,255,311,0,0,0,"Nursing, School of"
Pre-Nursing,12,137,16,198,16,139,2,32,46,506,552,0,0,0,"Nursing, School of"
Pharmacology & Toxicology,0,0,0,0,7,7,14,17,21,24,45,0,0,0,"Pharmacy, School of"
Veterinary Medicine Special,0,0,0,0,0,0,0,0,0,0,0,3,20,23,"Veterinary Medicine, School of"
